POS_tagged_sentence,Logical_expression,Natural_sentence,Manchester_syntax
a/DT stimulus/NN is/VBZ a/DT event/NN in/IN the/DT real/JJ world/NN that/WDT trigger/VB the/DT sensor/NN ./. <EOS>/<EOS>,stimulus := event in real world ^ E trigger . ( sensor ) <EOS>,a stimulus is a event in the real world that trigger the sensor.,stimulus EquivalentTo event in real world and some trigger sensor
integument/NN is/VBZ the/DT surface/NN structure/NN that/WDT is/VBZ the/DT outer/JJ protective/JJ covering/NN of/IN the/DT body/NN ./. <EOS>/<EOS>,integument := surface structure ^ outer protective covering of body <EOS>,integument is the surface structure that is the outer protective covering of the body.,integument EquivalentTo surface structure and outer protective covering of body
a/DT sensing/VBG device/NN is/VBZ a/DT device/NN that/WDT implement/VB sensing/VBG ./. <EOS>/<EOS>,sensing device := device ^ E implement . ( sensing ) <EOS>,a sensing device is a device that implement sensing.,sensing device EquivalentTo device and some implement sensing
the/DT sensor/NN datum/NN sheet/NN is/VBZ a/DT object/NN that/WDT record/VB property/NN of/IN a/DT sensor/NN ./. <EOS>/<EOS>,sensor datum sheet := object ^ E record . ( property of sensor ) <EOS>,the sensor datum sheet is a object that record property of a sensor.,sensor datum sheet EquivalentTo object and some record property of sensor
a/DT direct/JJ ossification/NN is/VBZ a/DT ossification/NN that/WDT do/VBZ not/RB require/VB the/DT replacement/NN of/IN pre-existing/JJ tissue/NN ./. <EOS>/<EOS>,direct ossification := ossification ^ ! E require . ( replacement of pre-existing tissue ) <EOS>,a direct ossification is a ossification that do not require the replacement of pre-existing tissue.,direct ossification EquivalentTo ossification and some require replacement of preexisting tissue
a/DT solid/JJ compound/NN organ/NN is/VBZ a/DT compound/NN organ/NN that/WDT do/VBZ not/RB contain/VB macroscopic/JJ anatomical/JJ space/NN ./. <EOS>/<EOS>,solid compound organ := compound organ ^ ! E contain . ( macroscopic anatomical space ) <EOS>,a solid compound organ is a compound organ that do not contain macroscopic anatomical space.,solid compound organ EquivalentTo compound organ and some contain macroscopic anatomical space
a/DT vector/NN is/VBZ a/DT organism/NN that/WDT carry/VB or/CC transmit/VB a/DT pathogen/NN ./. <EOS>/<EOS>,vector := organism ^ E ( carry U transmit ) . ( pathogen ) <EOS>,a vector is a organism that carry or transmit a pathogen.,vector EquivalentTo organism and some carry or transmit pathogen
a/DT rock/NN dassie/NN is/VBZ a/DT animal/NN that/WDT eat/VBP grass/NN and/CC broad-leafed/JJ plant/NN ./. <EOS>/<EOS>,rock dassie := animal ^ E eat . ( grass ) ^ E eat . ( broad-leafed plant ) <EOS>,a rock dassie is a animal that eat grass and broad-leafed plant.,rock dassie EquivalentTo animal and some eat grass and some eat broadleafed plant
lion/NN are/VBP animal/NN that/WDT eat/VBP only/RB herbivore/NN ./. <EOS>/<EOS>,lion := animal ^ A eat . ( herbivore ) <EOS>,lion are animal that eat only herbivore.,lion EquivalentTo animal and some eat herbivore
caprina/NN pizza/NN have/VB a/DT very/RB high-calorie/JJ content/NN ./. <EOS>/<EOS>,caprina pizza := E have content . ( very high-calorie content ) <EOS>,caprina pizza have a very high-calorie content.,caprina pizza EquivalentTo some have content very highcalorie content
a/DT interesting/JJ pizza/NN is/VBZ a/DT pizza/NN that/WDT have/VB at/IN least/JJS NUM/CD topping/NN ./. <EOS>/<EOS>,interesting pizza := pizza ^ >= NUM have topping . ( topping ) <EOS>,a interesting pizza is a pizza that have at least NUM topping.,interesting pizza EquivalentTo pizza and NUM have topping topping
spicy/NN topping/VBG is/VBZ any/DT topping/VBG that/DT have/VB a/DT hot/JJ spiciness/NN ./. <EOS>/<EOS>,spicy topping := topping ^ E have spiciness . ( hot spiciness ) <EOS>,spicy topping is any topping that have a hot spiciness.,spicy topping EquivalentTo topping and some have spiciness hot spiciness
a/DT survival/NN property/NN is/VBZ a/DT identifiable/JJ characteristic/NN that/WDT represent/VB the/DT extent/NN of/IN the/DT sensor/NN useful/JJ life/NN ./. <EOS>/<EOS>,survival property := identifiable characteristic ^ E represent . ( extent of sensor useful life ) <EOS>,a survival property is a identifiable characteristic that represent the extent of the sensor useful life.,survival property EquivalentTo identifiable characteristic and some represent extent of sensor useful life
a/DT device/NN is/VBZ a/DT physical/JJ piece/NN of/IN technology/NN ./. <EOS>/<EOS>,device := physical piece of technology <EOS>,a device is a physical piece of technology.,device EquivalentTo physical piece of technology
a/DT device/NN is/VBZ a/DT system/NN in/IN a/DT box/NN ./. <EOS>/<EOS>,device := system in box <EOS>,a device is a system in a box.,device EquivalentTo system in box
a/DT feature/NN is/VBZ a/DT abstraction/NN of/IN real/JJ world/NN phenomenon/NN ./. <EOS>/<EOS>,feature := abstraction of real world phenomenon <EOS>,a feature is a abstraction of real world phenomenon.,feature EquivalentTo abstraction of real world phenomenon
organism/NN subdivision/NN is/VBZ a/DT anatomical/JJ structure/NN that/WDT is/VBZ a/DT primary/JJ subdivision/NN of/IN whole/JJ organism/NN ./. <EOS>/<EOS>,organism subdivision := anatomical structure ^ primary subdivision of whole organism <EOS>,organism subdivision is a anatomical structure that is a primary subdivision of whole organism.,organism subdivision EquivalentTo anatomical structure and primary subdivision of whole organism
vehicle/NN are/VBP non-living/JJ means/NN of/IN transportation/NN ./. <EOS>/<EOS>,vehicle := non-living means of transportation <EOS>,vehicle are non-living means of transportation.,vehicle EquivalentTo nonliving means of transportation
a/DT observation/NN value/NN is/VBZ the/DT value/NN of/IN the/DT result/NN of/IN a/DT observation/NN ./. <EOS>/<EOS>,observation value := value of result of observation <EOS>,a observation value is the value of the result of a observation.,observation value EquivalentTo value of result of observation
datum/NN are/VBP fact/NN that/WDT result/VBP from/IN measurement/NN or/CC observation/NN ./. <EOS>/<EOS>,datum := fact ^ E result from . ( measurement U observation ) <EOS>,datum are fact that result from measurement or observation.,datum EquivalentTo fact and some result from measurement or observation
tree/NN are/VBP a/DT type/NN of/IN plant/NN ./. <EOS>/<EOS>,tree := plant <EOS>,tree are a type of plant.,tree EquivalentTo plant
